127.0.0.1 - - [28/Mar/2025:14:30:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:30:42 +0530] "GET /Airline-Reservation-System/index.jsp HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:30:42 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:30:49 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:30:57 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:30:57 +0530] "GET /Airline-Reservation-System/admindash.jsp HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:31:02 +0530] "GET /Airline-Reservation-System/manage_users.jsp HTTP/1.1" 200 3798
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:31:06 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 6346
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:31:10 +0530] "GET /Airline-Reservation-System/manage_bookings.jsp HTTP/1.1" 200 14636
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:31:17 +0530] "GET /Airline-Reservation-System/reports.jsp HTTP/1.1" 200 11984
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:31:22 +0530] "GET /Airline-Reservation-System/detailed_report.jsp HTTP/1.1" 200 8955
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:31:29 +0530] "POST /Airline-Reservation-System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:31:29 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:31:37 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:31:37 +0530] "GET /Airline-Reservation-System/passengerdash.jsp HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:32:34 +0530] "GET /Airline-Reservation-System/find_flights.jsp HTTP/1.1" 200 7890
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:32:42 +0530] "GET /Airline-Reservation-System/find_flights.jsp?source=kochi&destination=dubai&departure_time= HTTP/1.1" 200 5059
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:32:45 +0530] "GET /Airline-Reservation-System/bookFlight.jsp?flight_id=2 HTTP/1.1" 200 8182
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:32:57 +0530] "GET /Airline-Reservation-System/payment.jsp?flight_id=2&user_id=6&seats=3 HTTP/1.1" 200 3849
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:33:06 +0530] "POST /Airline-Reservation-System/confirmBooking.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:33:06 +0530] "GET /Airline-Reservation-System/ticketDisplay.jsp?booking_id=24 HTTP/1.1" 200 3407
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:33:23 +0530] "GET /Airline-Reservation-System/passengerdash.jsp HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:33:25 +0530] "GET /Airline-Reservation-System/my_payments.jsp HTTP/1.1" 200 5951
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:33:27 +0530] "GET /Airline-Reservation-System/my_bookings.jsp HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:33:30 +0530] "GET /Airline-Reservation-System/edit_profile.jsp HTTP/1.1" 200 2374
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:33:32 +0530] "GET /Airline-Reservation-System/passengerdash.jsp HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:33:35 +0530] "POST /Airline-Reservation-System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:33:35 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:54:43 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:55:58 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:56:13 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:56:13 +0530] "GET /Airline-Reservation-System/admindash.jsp HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:56:30 +0530] "GET /Airline-Reservation-System/manage_users.jsp HTTP/1.1" 200 3798
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:56:34 +0530] "GET /Airline-Reservation-System/edit_user.jsp?user_id=5 HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:57:13 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 6346
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:57:42 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:58:05 +0530] "GET /Airline-Reservation-System/edit_flight.jsp?flight_id=2 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:58:24 +0530] "GET /Airline-Reservation-System/edit_flight.jsp?flight_id=6 HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:58:29 +0530] "GET /Airline-Reservation-System/manage_bookings.jsp HTTP/1.1" 200 15184
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:58:41 +0530] "GET /Airline-Reservation-System/manage_bookings.jsp HTTP/1.1" 200 15184
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:59:03 +0530] "GET /Airline-Reservation-System/reports.jsp HTTP/1.1" 200 12532
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:59:09 +0530] "GET /Airline-Reservation-System/detailed_report.jsp HTTP/1.1" 200 9167
0:0:0:0:0:0:0:1 - - [28/Mar/2025:14:59:41 +0530] "GET /Airline-Reservation-System/admindash.jsp HTTP/1.1" 200 2254
