127.0.0.1 - - [14/Mar/2025:14:26:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:26:55 +0530] "GET /Airline-Reservation-System/index.jsp HTTP/1.1" 200 2555
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:26:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:26:56 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:26:57 +0530] "GET /Airline-Reservation-System/resources/images/plane-desktop.jpg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:27:09 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:27:09 +0530] "GET /Airline-Reservation-System/passengerdash.jsp HTTP/1.1" 200 4170
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:27:18 +0530] "GET /Airline-Reservation-System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:27:18 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:27:18 +0530] "GET /Airline-Reservation-System/resources/images/plane-desktop.jpg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:27:22 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:27:22 +0530] "GET /Airline-Reservation-System/admindash.jsp HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:27:26 +0530] "GET /Airline-Reservation-System/admindash.jsp HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:27:27 +0530] "GET /Airline-Reservation-System/manage_users.jsp HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:27:29 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:27:54 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:29:30 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:30:04 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:30:21 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:30:57 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:31:16 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:31:25 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:32:29 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:32:39 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:33:03 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:34:04 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:34:49 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:35:58 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:36:14 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:36:18 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:36:21 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:36:39 +0530] "GET /Airline-Reservation-System/edit_flight.jsp?flight_id=12 HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:37:04 +0530] "POST /Airline-Reservation-System/edit_flight.jsp HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:37:08 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:37:08 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:37:08 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 4832
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:37:19 +0530] "GET /Airline-Reservation-System/reports.jsp HTTP/1.1" 200 2457
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:37:20 +0530] "GET /Airline-Reservation-System/detailed_report.jsp HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:38:06 +0530] "GET /Airline-Reservation-System/manage_users.jsp HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:38:16 +0530] "GET /Airline-Reservation-System/delete_user.jsp?user_id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:38:16 +0530] "GET /Airline-Reservation-System/manage_users.jsp HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:38:18 +0530] "GET /Airline-Reservation-System/delete_user.jsp?user_id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:38:18 +0530] "GET /Airline-Reservation-System/manage_users.jsp HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:38:21 +0530] "GET /Airline-Reservation-System/delete_user.jsp?user_id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:14:38:21 +0530] "GET /Airline-Reservation-System/manage_users.jsp HTTP/1.1" 200 2393
