127.0.0.1 - - [01/Apr/2025:14:39:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:39:02 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:39:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:39:11 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:39:11 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:39:11 +0530] "GET /Airline-Reservation-System/admindash.jsp HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:39:24 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 10004
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:39:29 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:39:29 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:40:01 +0530] "GET /Airline-Reservation-System/schedule_flight.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:40:52 +0530] "POST /Airline-Reservation-System/schedule_flight.jsp HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:40:54 +0530] "GET /Airline-Reservation-System/schedule_flight.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:41:04 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 10004
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:45:36 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:46:17 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1965
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:52:41 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:52:46 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:52:49 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 10780
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:53:15 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 10780
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:53:24 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:53:36 +0530] "GET /Airline-Reservation-System HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:53:36 +0530] "GET /Airline-Reservation-System/ HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:53:38 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:53:45 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:53:45 +0530] "GET /Airline-Reservation-System/passengerdash.jsp HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [01/Apr/2025:14:53:47 +0530] "GET /Airline-Reservation-System/find_flights.jsp HTTP/1.1" 200 8342
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:20:00 +0530] "GET /Airline-Reservation-System/find_flights.jsp HTTP/1.1" 200 7890
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:20:04 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 10004
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:20:06 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 500 3831
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:20:24 +0530] "GET /Airline-Reservation-System/schedule_flight.jsp HTTP/1.1" 500 3831
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:20:28 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 500 3831
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:41:11 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:41:17 +0530] "GET /Airline-Reservation-System/schedule_flight.jsp HTTP/1.1" 200 3636
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:43:46 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:43:57 +0530] "POST /Airline-Reservation-System/addFlightServlet HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:49:12 +0530] "GET /Airline-Reservation-System/schedule_flight.jsp HTTP/1.1" 500 5993
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:50:32 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:50:35 +0530] "POST /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 3633
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:50:37 +0530] "GET /Airline-Reservation-System/add_flight.jsp HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:50:57 +0530] "GET /Airline-Reservation-System/schedule_flight.jsp HTTP/1.1" 500 5993
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:52:47 +0530] "GET /Airline-Reservation-System/schedule_flight.jsp HTTP/1.1" 200 2704
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:53:17 +0530] "POST /Airline-Reservation-System/schedule_flight.jsp HTTP/1.1" 200 2704
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:53:26 +0530] "GET /Airline-Reservation-System/schedule_flight.jsp HTTP/1.1" 200 2704
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:53:32 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 10004
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:53:32 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 10004
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:53:32 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 10004
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:54:41 +0530] "GET /Airline-Reservation-System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:54:41 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:54:50 +0530] "GET /Airline-Reservation-System/bookFlight.jsp?flight_id=2 HTTP/1.1" 200 8172
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:54:54 +0530] "GET /Airline-Reservation-System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:54:54 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:55:11 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:55:11 +0530] "GET /Airline-Reservation-System/passengerdash.jsp HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:55:14 +0530] "POST /Airline-Reservation-System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:55:14 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:55:17 +0530] "GET /Airline-Reservation-System/find_flights.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:55:17 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:56:11 +0530] "POST /Airline-Reservation-System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2025:15:56:11 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [01/Apr/2025:16:00:11 +0530] "GET /Airline-Reservation-System/schedule_flight.jsp HTTP/1.1" 500 4012
0:0:0:0:0:0:0:1 - - [01/Apr/2025:16:00:12 +0530] "GET /Airline-Reservation-System/schedule_flight.jsp HTTP/1.1" 200 2704
0:0:0:0:0:0:0:1 - - [01/Apr/2025:16:00:15 +0530] "GET /Airline-Reservation-System/schedule_flight.jsp HTTP/1.1" 500 4012
0:0:0:0:0:0:0:1 - - [01/Apr/2025:16:00:15 +0530] "GET /Airline-Reservation-System/schedule_flight.jsp HTTP/1.1" 200 2704
