0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:21:13 +0530] "GET /Airline-Reservation-System/manage_bookings.jsp HTTP/1.1" 200 3111
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:21:17 +0530] "GET /Airline-Reservation-System/reports.jsp HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:21:21 +0530] "GET /Airline-Reservation-System/detailed_report.jsp HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:21:31 +0530] "GET /Airline-Reservation-System/reports.jsp HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:21:33 +0530] "GET /Airline-Reservation-System/detailed_report.jsp HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:22:57 +0530] "GET /Airline-Reservation-System/detailed_report.jsp HTTP/1.1" 200 4175
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:23:42 +0530] "GET /Airline-Reservation-System/detailed_report.jsp HTTP/1.1" 200 5330
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:23:45 +0530] "GET /Airline-Reservation-System/reports.jsp HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:23:47 +0530] "GET /Airline-Reservation-System/detailed_report.jsp HTTP/1.1" 200 5330
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:23:48 +0530] "GET /Airline-Reservation-System/reports.jsp HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:23:53 +0530] "GET /Airline-Reservation-System/admindash.jsp HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:23:56 +0530] "POST /Airline-Reservation-System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:23:56 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:23:56 +0530] "GET /Airline-Reservation-System/resources/images/plane-desktop.jpg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:24:29 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 4771
